TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2023,1,26,0,0,34XX E HASTINGS ST,Hastings-Sunrise,497779.0396,5458714.6395
Other Theft,2023,6,14,21,3,34XX E PENDER ST,Hastings-Sunrise,497854.5031,5458602.3391
Other Theft,2023,5,1,19,54,35XX DUNDAS ST,Hastings-Sunrise,497982.8441,5459108.0786
Other Theft,2023,4,3,5,10,35XX E HASTINGS ST,Hastings-Sunrise,497946.4355,5458704.5297
Other Theft,2023,4,17,21,25,35XX E HASTINGS ST,Hastings-Sunrise,497946.4355,5458704.5297
Other Theft,2023,4,14,14,44,35XX WILLIAM ST,Hastings-Sunrise,498060.2929,5457933.0367
Other Theft,2023,2,8,17,11,36XX E HASTINGS ST,Hastings-Sunrise,498140.1402,5458713.845
Other Theft,2023,2,20,18,18,3XX NANAIMO ST,Hastings-Sunrise,495892.3951,5458776.2115
Other Theft,2023,3,15,0,0,3XX SKEENA ST,Hastings-Sunrise,497944.1656,5458720.7846
Other Theft,2023,1,19,23,47,5XX CASSIAR ST,Hastings-Sunrise,497761.0059,5458564.5037
Other Theft,2023,6,2,20,42,5XX SKEENA ST,Hastings-Sunrise,497935.8716,5458486.7245
Other Theft,2023,3,9,9,0,6XX N PENTICTON ST,Hastings-Sunrise,496226.387,5459829.866
Other Theft,2023,3,19,13,30,BOUNDARY RD / E PENDER ST,Hastings-Sunrise,498281.4099,5458608.6708
Other Theft,2023,7,8,13,58,CASSIAR ST / E PENDER ST,Hastings-Sunrise,497757.0604,5458607.1925
Other Theft,2023,7,11,15,15,E BROADWAY AVE / RUPERT ST,Hastings-Sunrise,497539.1887,5456571.0572
Other Theft,2023,5,29,0,0,E GEORGIA ST / WINDERMERE ST,Hastings-Sunrise,497358.1738,5458391.5604
Other Theft,2023,7,4,11,0,E HASTINGS ST / SKEENA ST,Hastings-Sunrise,497939.4944,5458709.0982
Other Theft,2023,4,5,12,0,N BOUNDARY RD / TRINITY ST,Hastings-Sunrise,498291.989,5459662.0893
Other Theft,2023,2,7,15,4,N PENTICTON ST / OXFORD ST,Hastings-Sunrise,496220.9565,5459216.6497
